[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ view_end ] --START--
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php/Index/copy | INFO: Run ShowPageTrace Behavior [ RunTime:0.000906s ]
[ 2017-03-17T16:38:48+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ view_end ] --END-- [ RunTime:0.000950s ]
[ 2017-03-17T16:39:46+08:00 ] /JSJD/admin.php/News/lst | ERR: (ThinkException) 非法操作lst
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Tag[ route_check ] --START--
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Run CheckRoute Behavior [ RunTime:0.000830s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.000912s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Tag[ app_begin ] --START--
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000542s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000586s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.014497s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Tag[ view_template ] --START--
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Run LocationTemplate Behavior [ RunTime:0.001187s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.001266s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Tag[ view_parse ] --START--
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Run ParseTemplate Behavior [ RunTime:0.054467s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.054534s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Tag[ view_filter ] --START--
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Run ContentReplace Behavior [ RunTime:0.000452s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Run TokenBuild Behavior [ RunTime:0.000466s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000267s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000484s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001807s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Tag[ view_end ] --START--
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.000499s ]
[ 2017-03-17T16:39:53+08:00 ] /JSJD/admin.php/News/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.000546s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ route_check ] --START--
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Run CheckRoute Behavior [ RunTime:0.001165s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001323s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000633s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000683s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.011615s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | SQL: SHOW COLUMNS FROM `czxy_news` [ RunTime:0.013073s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | SQL: SELECT COUNT(*) AS tp_count FROM `czxy_news` LIMIT 1   [ RunTime:0.010321s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | SQL: SELECT * FROM `czxy_news` ORDER BY publictime desc  [ RunTime:0.000481s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ view_template ] --START--
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000983s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001039s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ view_parse ] --START--
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Run ParseTemplate Behavior [ RunTime:0.015489s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015572s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ view_filter ] --START--
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Run ContentReplace Behavior [ RunTime:0.000414s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Run TokenBuild Behavior [ RunTime:0.000413s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000251s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000697s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001949s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ view_end ] --START--
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000658s ]
[ 2017-03-17T16:40:01+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000725s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Tag[ route_check ] --START--
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Run CheckRoute Behavior [ RunTime:0.001238s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001330s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Tag[ app_begin ] --START--
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000628s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000683s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.010794s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | SQL: SHOW COLUMNS FROM `czxy_news` [ RunTime:0.010667s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | SQL: UPDATE `czxy_news` SET `isshow`=0 WHERE ( `id` = 1 ) [ RunTime:0.047430s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Tag[ view_template ] --START--
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Run LocationTemplate Behavior [ RunTime:0.001772s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001881s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Tag[ view_parse ] --START--
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Run ParseTemplate Behavior [ RunTime:0.025968s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026085s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Tag[ view_filter ] --START--
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Run ContentReplace Behavior [ RunTime:0.000636s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Run TokenBuild Behavior [ RunTime:0.000670s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000423s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Run ShowRuntime Behavior [ RunTime:0.000832s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002810s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Tag[ view_end ] --START--
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000833s ]
[ 2017-03-17T16:40:08+08:00 ] /JSJD/admin.php/News/handlerShownews/id/1/isshow/0 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000919s ]
[ 2017-03-17T16:40:09+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ route_check ] --START--
[ 2017-03-17T16:40:09+08:00 ] /JSJD/admin.php/News/index | INFO: Run CheckRoute Behavior [ RunTime:0.001565s ]
[ 2017-03-17T16:40:09+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001724s ]
[ 2017-03-17T16:40:09+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-17T16:40:09+08:00 ] /JSJD/admin.php/News/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000902s ]
[ 2017-03-17T16:40:09+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000976s ]
[ 2017-03-17T16:40:09+08:00 ] /JSJD/admin.php/News/index | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.010971s ]
[ 2017-03-17T16:40:09+08:00 ] /JSJD/admin.php/News/index | SQL: SHOW COLUMNS FROM `czxy_news` [ RunTime:0.012820s ]
[ 2017-03-17T16:40:09+08:00 ] /JSJD/admin.php/News/index | SQL: SELECT COUNT(*) AS tp_count FROM `czxy_news` LIMIT 1   [ RunTime:0.000324s ]
[ 2017-03-17T16:40:09+08:00 ] /JSJD/admin.php/News/index | SQL: SELECT * FROM `czxy_news` ORDER BY publictime desc  [ RunTime:0.000336s ]
[ 2017-03-17T16:40:09+08:00 ] /JSJD/admin.php/News/index | INFO: Tag[ view_template ] --START--
