[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000648s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000707s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000784s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000837s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008417s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008558s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ContentReplace Behavior [ RunTime:0.001141s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run TokenBuild Behavior [ RunTime:0.000649s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000895s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000639s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003553s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000659s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000702s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001351s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001442s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000789s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000848s ]
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Run CheckRoute Behavior [ RunTime:0.001564s ]
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001728s ]
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001210s ]
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001309s ]
