[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ app_begin ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000807s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000906s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.004734s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | SQL: SHOW COLUMNS FROM `czxy_profession` [ RunTime:0.003943s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | SQL: SELECT * FROM `czxy_profession`  [ RunTime:0.000325s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_template ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run LocationTemplate Behavior [ RunTime:0.000499s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.000560s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_parse ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ParseTemplate Behavior [ RunTime:0.005466s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005531s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_filter ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ContentReplace Behavior [ RunTime:0.000326s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run TokenBuild Behavior [ RunTime:0.000351s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000229s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000346s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001389s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_end ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.000366s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.000412s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ route_check ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run CheckRoute Behavior [ RunTime:0.001208s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.001397s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ app_begin ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000857s ]
